gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
PNN,0.783,0.7792,106,0.9802,0.8971,0.0039,138
SRFBP1,0.9688,0.779,96,0.9801,0.9986,0.1898,139
SUPT5H,0.8507,0.7789,134,0.9799,0.9498,0.0718,140
RBM25,0.7647,0.7777,85,0.9798,0.8818,-0.013,141
NSA2,0.8415,0.777,82,0.9796,0.9438,0.0644,142
SMG6,0.4318,0.776,44,0.9795,0.5853,-0.3441,143
CACTIN,0.6892,0.7758,74,0.9794,0.8216,-0.0866,144
EIF2S2,0.7665,0.7756,167,0.9792,0.8841,-0.0091,145
ANAPC1,0.7358,0.7751,106,0.9791,0.8604,-0.0392,146
RAE1,0.6842,0.7749,152,0.9789,0.8159,-0.0907,147
SNW1,0.8608,0.7737,79,0.9788,0.9558,0.0871,148
PAF1,0.7744,0.7734,133,0.9786,0.8903,0.0011,149
NPM1,0.8092,0.7727,131,0.9785,0.9165,0.0365,150
TOP1,0.8435,0.7726,147,0.9783,0.9459,0.071,151
NUP205,0.8495,0.7721,206,0.9782,0.9489,0.0774,152
TBL3,0.7624,0.7713,101,0.9781,0.8794,-0.009,153
HNRNPK,0.6441,0.7706,59,0.9779,0.7816,-0.1265,154
CHD4,0.8298,0.7703,141,0.9778,0.9344,0.0595,155
DNTTIP2,0.8167,0.7697,60,0.9776,0.9228,0.0469,156
ACIN1,0.8372,0.7692,86,0.9775,0.9404,0.068,157
ZFC3H1,0.5954,0.7687,131,0.9773,0.7362,-0.1733,158
CTDP1,0.6538,0.7686,52,0.9772,0.7899,-0.1147,159
CCNL1,0.4088,0.7682,159,0.977,0.5598,-0.3594,160
KAT6A,0.3884,0.7675,121,0.9769,0.5411,-0.3791,161
THRAP3,0.8289,0.7673,76,0.9768,0.9336,0.0616,162
XAB2,0.7403,0.7672,77,0.9766,0.8632,-0.0269,163
EIF3G,0.6627,0.7669,83,0.9765,0.7992,-0.1043,164
PRPF6,0.858,0.7663,162,0.9763,0.9544,0.0917,165
USO1,0.6562,0.7658,64,0.9762,0.7914,-0.1096,166
DDX24,0.9036,0.7655,83,0.976,0.9799,0.1381,167
SRSF1,0.5752,0.7648,113,0.9759,0.7172,-0.1895,168
SRP54,0.633,0.7647,109,0.9757,0.7707,-0.1317,169
U2AF2,0.7423,0.7647,97,0.9756,0.8652,-0.0225,170
PHIP,0.678,0.7646,59,0.9755,0.8103,-0.0866,171
PPP1R12A,0.0541,0.7644,111,0.9753,0.0913,-0.7103,172
ZC3H13,0.8269,0.7637,52,0.9752,0.9324,0.0632,173
CCDC174,0.4898,0.7634,49,0.975,0.6432,-0.2737,174
HNRNPU,0.6596,0.7632,188,0.9749,0.7945,-0.1036,175
PRPF40A,0.902,0.7629,102,0.9747,0.9791,0.139,176
RBM28,0.8325,0.7629,203,0.9746,0.9368,0.0696,177
EXOSC10,0.7846,0.7627,65,0.9744,0.8989,0.0219,178
DDX20,0.8,0.7621,60,0.9743,0.9082,0.0379,179
SON,0.9067,0.7613,75,0.9742,0.9809,0.1453,180
PPP1R10,0.8421,0.761,95,0.974,0.9446,0.0811,181
RBM27,0.8525,0.7605,122,0.9739,0.9512,0.092,182
SRP68,0.6218,0.7588,119,0.9737,0.7595,-0.137,183
SNRPB2,0.6691,0.7584,136,0.9736,0.8031,-0.0893,184
HNRNPA2B1,0.4826,0.7573,230,0.9734,0.6354,-0.2747,185
PES1,0.9701,0.7566,67,0.9733,0.9988,0.2135,186
AATF,0.9327,0.756,104,0.9731,0.9895,0.1767,187
FNTA,0.2941,0.756,119,0.973,0.4379,-0.4618,188
MCM2,0.9174,0.7558,121,0.9729,0.9841,0.1616,189
TTC1,0.6855,0.7553,124,0.9727,0.8179,-0.0698,190
RBM5,0.6136,0.7539,44,0.9726,0.7528,-0.1402,191
CPSF6,0.8261,0.7531,138,0.9724,0.9314,0.0729,192
KMT2B,0.6774,0.7529,124,0.9723,0.8091,-0.0755,193
EIF4B,0.5221,0.7526,113,0.9721,0.6692,-0.2305,194
RBBP4,0.806,0.7521,67,0.972,0.9126,0.0539,195
PRPF8,0.9348,0.7518,46,0.9718,0.9908,0.183,196
NMD3,0.8509,0.7514,161,0.9717,0.9499,0.0996,197
YTHDC1,0.7812,0.7514,64,0.9716,0.8955,0.0299,198
CTNNBL1,0.6554,0.7512,148,0.9714,0.7909,-0.0958,199
HMGCS1,0.4317,0.7502,183,0.9713,0.585,-0.3186,200
RUVBL2,0.7273,0.75,88,0.9711,0.8539,-0.0227,201
SMC5,0.5667,0.7495,60,0.971,0.7105,-0.1829,202
NIFK,0.8716,0.7491,109,0.9708,0.9633,0.1225,203
NXF1,0.75,0.749,80,0.9707,0.8707,0.001,204
ILF3,0.7882,0.7489,85,0.9705,0.9015,0.0393,205
TBP,0.4694,0.7483,49,0.9704,0.6229,-0.2789,206
RBM6,0.6591,0.7482,44,0.9703,0.7937,-0.0892,207
NOL6,0.8734,0.7476,79,0.9701,0.9646,0.1258,208
WDR5,0.8148,0.7475,54,0.97,0.921,0.0673,209
PSMD2,0.6647,0.7468,173,0.9698,0.8008,-0.082,210
WDR75,0.951,0.7458,102,0.9697,0.9949,0.2052,211
SART3,0.7573,0.7455,103,0.9695,0.8761,0.0118,212
POLD1,0.8315,0.7453,89,0.9694,0.9363,0.0862,213
SUPT16H,0.9381,0.7449,97,0.9692,0.9919,0.1933,214
TLK2,0.56,0.7448,125,0.9691,0.7052,-0.1848,215
NSF,0.5135,0.7447,111,0.969,0.6635,-0.2312,216
HSPD1,0.3939,0.7447,99,0.9688,0.5453,-0.3507,217
MCM6,0.9286,0.7442,98,0.9687,0.9881,0.1844,218
TOP3A,0.5957,0.7441,47,0.9685,0.7365,-0.1484,219
CASC3,0.6372,0.744,113,0.9684,0.7742,-0.1068,220
RBM39,0.7296,0.7435,159,0.9682,0.8549,-0.014,221
MTOR,0.3077,0.7421,65,0.9681,0.4568,-0.4344,222
NAT10,0.9062,0.7411,64,0.9679,0.9807,0.1651,223
RPAP3,0.8142,0.7411,113,0.9678,0.9204,0.073,224
KDM2A,0.8241,0.7408,108,0.9677,0.9287,0.0833,225
ZRANB2,0.5968,0.7405,62,0.9675,0.738,-0.1437,226
TAF3,0.3012,0.7403,83,0.9674,0.4482,-0.4391,227
RRP1,0.8857,0.7402,70,0.9672,0.9717,0.1455,228
SUZ12,0.81,0.7401,100,0.9671,0.9177,0.0699,229
ISG20L2,0.84,0.7391,200,0.9669,0.9428,0.1009,230
WBP11,0.7045,0.7389,132,0.9668,0.8345,-0.0343,231
SLTM,0.8302,0.738,53,0.9666,0.9348,0.0921,232
HNRNPC,0.7629,0.7366,97,0.9665,0.8801,0.0263,233
BCLAF1,0.82,0.7363,50,0.9664,0.9254,0.0837,234
BRD2,0.7551,0.7362,98,0.9662,0.8744,0.0189,235
DDX47,0.8855,0.7361,131,0.9661,0.9716,0.1494,236
WBP4,0.5962,0.7358,52,0.9659,0.7372,-0.1397,237
IWS1,0.7925,0.7356,106,0.9658,0.9038,0.0569,238
CDC73,0.8254,0.7356,189,0.9656,0.9303,0.0898,239
AQR,0.64,0.7355,50,0.9655,0.7774,-0.0955,240
SCAF11,0.8739,0.7354,111,0.9653,0.9648,0.1385,241
DHX8,0.8426,0.735,108,0.9652,0.9451,0.1076,242
SERBP1,0.661,0.7348,59,0.9651,0.7974,-0.0738,243
ANKRD17,0.8358,0.7343,67,0.9649,0.939,0.1015,244
CDC123,0.7765,0.7342,85,0.9648,0.8927,0.0423,245
