gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
SHC1,0.6313,0.3968,198,0.5713,0.7687,0.2345,2970
PRKAR2A,0.0238,0.3966,42,0.5712,0.0378,-0.3728,2971
CTBP2,0.6912,0.3966,68,0.571,0.8237,0.2946,2972
FBXO38,0.4098,0.3965,122,0.5709,0.561,0.0134,2973
VRK2,0.6423,0.3965,123,0.5707,0.7792,0.2458,2974
NCDN,0.4286,0.3965,70,0.5706,0.5803,0.0321,2975
VPS11,0.058,0.3964,69,0.5705,0.0969,-0.3384,2976
SPAST,0.8707,0.3963,116,0.5703,0.963,0.4743,2977
ACLY,0.5364,0.3963,110,0.5702,0.6832,0.14,2978
SPAG1,0.4419,0.3963,172,0.57,0.5944,0.0456,2979
SESN1,0.0,0.3962,46,0.5699,0.0058,-0.3962,2980
FAM111A,0.7342,0.3961,79,0.5697,0.8589,0.338,2981
TRIM26,0.4316,0.3961,95,0.5696,0.5847,0.0354,2982
COA6,0.1398,0.3961,186,0.5694,0.2228,-0.2563,2983
STAMBPL1,0.3051,0.3961,59,0.5693,0.4535,-0.091,2984
ITGA5,0.2807,0.3961,114,0.5692,0.4196,-0.1154,2985
GOLGA2,0.8333,0.3959,60,0.569,0.9375,0.4374,2986
OTUD4,0.6111,0.3958,54,0.5689,0.7509,0.2153,2987
CAPG,0.2377,0.3957,122,0.5687,0.3581,-0.158,2988
RALGAPA1,0.2982,0.3956,114,0.5686,0.4436,-0.0974,2989
HSPBAP1,0.4333,0.3955,120,0.5684,0.587,0.0378,2990
GSTM3,0.1077,0.3955,65,0.5683,0.1756,-0.2878,2991
SBF2,0.0339,0.3954,59,0.5681,0.0561,-0.3615,2992
C12orf45,0.8218,0.3954,101,0.568,0.9272,0.4264,2993
RAB4A,0.4451,0.3953,182,0.5679,0.5979,0.0497,2994
TRIM65,0.3554,0.3953,121,0.5677,0.5038,-0.0399,2995
MAP2K3,0.3966,0.3953,58,0.5676,0.5477,0.0013,2996
STAT5A,0.0446,0.3952,112,0.5674,0.0756,-0.3506,2997
CAPZA2,0.0337,0.3952,208,0.5673,0.0552,-0.3615,2998
SLC12A7,0.8031,0.395,193,0.5671,0.9102,0.4081,2999
PIK3R4,0.2266,0.3948,128,0.567,0.342,-0.1682,3000
RGP1,0.3537,0.3948,82,0.5668,0.5018,-0.0411,3001
SLC44A1,0.3,0.3948,60,0.5667,0.4453,-0.0948,3002
PNKP,0.7528,0.3947,89,0.5666,0.8721,0.3581,3003
PEX1,0.3982,0.3947,226,0.5664,0.5495,0.0035,3004
FKBP3,0.7113,0.3947,97,0.5663,0.8414,0.3166,3005
ASNA1,0.2558,0.3947,86,0.5661,0.3849,-0.1389,3006
SNX13,0.1921,0.3947,229,0.566,0.2957,-0.2026,3007
CHP1,0.1667,0.3946,48,0.5658,0.2633,-0.228,3008
SF3B5,0.6154,0.3946,52,0.5657,0.754,0.2208,3009
RRBP1,0.6889,0.3945,135,0.5656,0.8209,0.2944,3010
SPATA20,0.144,0.3944,125,0.5654,0.2294,-0.2504,3011
CSNK1A1,0.3884,0.3944,121,0.5653,0.5411,-0.006,3012
MICALL1,0.4643,0.3944,56,0.5651,0.6167,0.0699,3013
VPS28,0.297,0.3944,165,0.565,0.4417,-0.0974,3014
SAMD4B,0.8797,0.3943,133,0.5648,0.9689,0.4854,3015
MORC2,0.7812,0.3942,64,0.5647,0.8955,0.3871,3016
LARP4B,0.7662,0.3941,77,0.5645,0.8838,0.3721,3017
SOD1,0.0811,0.3941,74,0.5644,0.1348,-0.313,3018
CBL,0.1143,0.394,70,0.5643,0.1862,-0.2797,3019
CHKB,0.1846,0.3939,65,0.5641,0.2876,-0.2093,3020
BCL7C,0.2477,0.3939,109,0.564,0.3731,-0.1462,3021
MTMR2,0.093,0.3939,86,0.5638,0.1553,-0.3008,3022
MPLKIP,0.5225,0.3938,222,0.5637,0.6697,0.1287,3023
FNBP1,0.1186,0.3938,59,0.5635,0.193,-0.2752,3024
GNA12,0.1295,0.3938,224,0.5634,0.2085,-0.2644,3025
TRIM25,0.4912,0.3938,114,0.5632,0.6456,0.0974,3026
MTR,0.1243,0.3937,185,0.5631,0.2013,-0.2694,3027
FNDC3B,0.9362,0.3935,188,0.563,0.9913,0.5427,3028
FAM32A,0.6196,0.3934,92,0.5628,0.7584,0.2262,3029
KIAA0355,0.2913,0.3934,127,0.5627,0.434,-0.102,3030
NIPSNAP1,0.3433,0.3933,67,0.5625,0.4936,-0.0501,3031
SLC37A4,0.2286,0.3933,70,0.5624,0.3464,-0.1647,3032
ENAH,0.3224,0.3932,183,0.5622,0.4714,-0.0708,3033
TRIP13,0.8429,0.3932,191,0.5621,0.9454,0.4497,3034
PTPN12,0.5748,0.3931,214,0.5619,0.717,0.1816,3035
TRAF6,0.3231,0.3931,65,0.5618,0.4719,-0.07,3036
DNM1L,0.4867,0.393,150,0.5617,0.6393,0.0937,3037
EHBP1L1,0.2755,0.3929,98,0.5615,0.4129,-0.1174,3038
KIDINS220,0.6875,0.3928,112,0.5614,0.8199,0.2947,3039
PRKAA1,0.2234,0.3927,188,0.5612,0.3375,-0.1693,3040
MIER1,0.45,0.3927,60,0.5611,0.6036,0.0573,3041
ANO6,0.0721,0.3927,111,0.5609,0.1211,-0.3206,3042
PARD6B,0.0649,0.3927,154,0.5608,0.1079,-0.3277,3043
GNL1,0.2947,0.3926,95,0.5606,0.4389,-0.0979,3044
VCL,0.0,0.3926,69,0.5605,0.0058,-0.3926,3045
OLA1,0.7091,0.3926,110,0.5604,0.8394,0.3165,3046
PFDN5,0.8649,0.3924,111,0.5602,0.9588,0.4724,3047
CCDC90B,0.2556,0.3924,90,0.5601,0.3846,-0.1369,3048
FBLIM1,0.2353,0.3923,68,0.5599,0.3555,-0.1571,3049
RPL28,0.6392,0.3923,97,0.5598,0.7764,0.2469,3050
AGPAT3,0.2647,0.3923,68,0.5596,0.3976,-0.1275,3051
MRPL16,0.2658,0.3922,79,0.5595,0.3997,-0.1264,3052
UNC119B,0.3542,0.3921,96,0.5593,0.5025,-0.038,3053
PDZD8,0.3333,0.392,63,0.5592,0.4822,-0.0587,3054
DARS2,0.295,0.3919,200,0.5591,0.4394,-0.0969,3055
CRIPT,0.7627,0.3919,118,0.5589,0.8797,0.3708,3056
NDUFAF3,0.1429,0.3919,42,0.5588,0.2276,-0.249,3057
ARPC5L,0.2787,0.3919,61,0.5586,0.416,-0.1132,3058
PIK3C2A,0.4127,0.3919,63,0.5585,0.5647,0.0208,3059
TRIM27,0.4891,0.3918,92,0.5583,0.6421,0.0973,3060
BANP,0.1688,0.3918,77,0.5582,0.2659,-0.2229,3061
UBE2E2,0.4255,0.3917,47,0.558,0.5762,0.0338,3062
TMEM126A,0.2727,0.3917,88,0.5579,0.4086,-0.119,3063
DPH2,0.5882,0.3917,85,0.5578,0.7295,0.1965,3064
ZBTB7B,0.7136,0.3915,199,0.5576,0.8438,0.322,3065
BCAP29,0.2254,0.3915,213,0.5575,0.3397,-0.1661,3066
DYM,0.3684,0.3915,57,0.5573,0.5196,-0.0231,3067
TOX4,0.6875,0.3914,96,0.5572,0.8199,0.2961,3068
THBD,0.0667,0.3914,150,0.557,0.1112,-0.3247,3069
HBS1L,0.6415,0.3913,53,0.5569,0.7784,0.2502,3070
TMEM30A,0.1429,0.3912,63,0.5567,0.2276,-0.2484,3071
ESYT1,0.1417,0.3911,120,0.5566,0.2258,-0.2494,3072
GNAI3,0.5469,0.391,64,0.5565,0.6922,0.1558,3073
HSPBP1,0.732,0.391,97,0.5563,0.8573,0.341,3074
MGAT2,0.4947,0.391,95,0.5562,0.6485,0.1038,3075
MAN1A1,0.0851,0.391,47,0.556,0.1439,-0.3059,3076
OSBPL8,0.4324,0.3909,111,0.5559,0.5861,0.0415,3077
CD55,0.0995,0.3909,191,0.5557,0.165,-0.2914,3078
ARMC6,0.7526,0.3908,97,0.5556,0.8716,0.3618,3079
THADA,0.55,0.3908,120,0.5554,0.6951,0.1592,3080
SOD2,0.1304,0.3906,46,0.5553,0.2095,-0.2602,3081
NANS,0.4737,0.3905,57,0.5552,0.6264,0.0832,3082
ARHGAP12,0.5349,0.3905,86,0.555,0.6811,0.1444,3083
USF2,0.5317,0.3904,126,0.5549,0.6774,0.1413,3084
BBX,0.5182,0.3904,110,0.5547,0.6668,0.1278,3085
PLEKHA5,0.4317,0.3903,139,0.5546,0.5849,0.0414,3086
CISD1,0.4286,0.3903,70,0.5544,0.5803,0.0383,3087
C2CD5,0.2657,0.3903,143,0.5543,0.3994,-0.1245,3088
LRMP,0.1818,0.3902,154,0.5541,0.2838,-0.2084,3089
GMEB1,0.2787,0.3902,61,0.554,0.416,-0.1115,3090
RNF13,0.0566,0.3901,159,0.5539,0.0946,-0.3335,3091
INIP,0.7091,0.3901,55,0.5537,0.8394,0.319,3092
STK11IP,0.1235,0.3901,81,0.5536,0.1998,-0.2667,3093
FAM3C,0.6225,0.3901,204,0.5534,0.7606,0.2325,3094
NDUFAF5,0.1397,0.3901,136,0.5533,0.2224,-0.2504,3095
PTTG1IP,0.5,0.3899,62,0.5531,0.6533,0.1101,3096
DDX19A,0.7857,0.3898,98,0.553,0.8995,0.3959,3097
LTBP3,0.5816,0.3898,98,0.5528,0.7228,0.1918,3098
DNMT3A,0.7456,0.3897,114,0.5527,0.8672,0.3559,3099
VAC14,0.4105,0.3897,95,0.5526,0.5621,0.0209,3100
CDK2AP1,0.701,0.3896,97,0.5524,0.8322,0.3114,3101
FZD6,0.4882,0.3895,170,0.5523,0.6414,0.0988,3102
ASPH,0.7481,0.3894,135,0.5521,0.8696,0.3587,3103
FRYL,0.4805,0.3893,77,0.552,0.633,0.0912,3104
ERLEC1,0.5041,0.3893,121,0.5518,0.6572,0.1148,3105
SDCCAG8,0.3011,0.3893,186,0.5517,0.4476,-0.0882,3106
PEA15,0.1034,0.3892,203,0.5515,0.1706,-0.2858,3107
PPP3CC,0.1525,0.3892,59,0.5514,0.244,-0.2367,3108
HDDC2,0.2308,0.389,52,0.5513,0.3504,-0.1582,3109
ING4,0.4255,0.3889,141,0.5511,0.5762,0.0366,3110
SEC61B,0.6034,0.3889,58,0.551,0.744,0.2145,3111
PEX6,0.1589,0.3889,107,0.5508,0.2509,-0.23,3112
FBXL17,0.4545,0.3888,88,0.5507,0.6081,0.0657,3113
PRKACB,0.1356,0.3888,59,0.5505,0.2167,-0.2532,3114
TYMP,0.625,0.3888,64,0.5504,0.7627,0.2362,3115
GPR108,0.3108,0.3886,74,0.5502,0.4599,-0.0778,3116
COA7,0.2273,0.3885,66,0.5501,0.3438,-0.1612,3117
MIEF1,0.4333,0.3884,60,0.55,0.587,0.0449,3118
TM7SF2,0.1413,0.3883,92,0.5498,0.2254,-0.247,3119
SIPA1L3,0.5591,0.3882,127,0.5497,0.704,0.1709,3120
LCLAT1,0.5,0.3881,114,0.5495,0.6533,0.1119,3121
TRPT1,0.4819,0.3881,83,0.5494,0.6343,0.0938,3122
IGFBP4,0.2566,0.3881,113,0.5492,0.3856,-0.1314,3123
PSMB5,0.1977,0.3881,86,0.5491,0.3032,-0.1904,3124
RPL35,0.2623,0.3879,61,0.5489,0.3937,-0.1256,3125
IMPDH2,0.7143,0.3879,42,0.5488,0.8443,0.3264,3126
EXOC7,0.0672,0.3878,119,0.5487,0.112,-0.3206,3127
SLC1A5,0.5783,0.3878,83,0.5485,0.7195,0.1905,3128
HNRNPLL,0.5167,0.3877,120,0.5484,0.6658,0.129,3129
HS1BP3,0.3186,0.3875,113,0.5482,0.4679,-0.0689,3130
WWP2,0.2,0.3875,95,0.5481,0.3065,-0.1875,3131
RPL22,0.2742,0.3873,62,0.5479,0.4107,-0.1131,3132
VAPA,0.3918,0.3873,97,0.5478,0.5437,0.0044,3133
DDX19B,0.5714,0.3873,98,0.5476,0.7151,0.1841,3134
RPL35A,0.716,0.3873,169,0.5475,0.8451,0.3287,3135
ADAM9,0.8667,0.3872,120,0.5474,0.9598,0.4795,3136
PRDX1,0.4268,0.3871,82,0.5472,0.5777,0.0397,3137
VPS13A,0.1475,0.387,61,0.5471,0.2359,-0.2395,3138
MAP2K5,0.2373,0.387,59,0.5469,0.3578,-0.1497,3139
SEC23B,0.4964,0.387,137,0.5468,0.6497,0.1093,3140
AK2,0.1471,0.387,68,0.5466,0.2348,-0.2399,3141
POR,0.2186,0.387,215,0.5465,0.3325,-0.1684,3142
LIME1,0.1987,0.387,156,0.5463,0.3045,-0.1883,3143
CETN3,0.2976,0.3869,84,0.5462,0.4423,-0.0893,3144
CDS1,0.0909,0.3868,55,0.5461,0.1525,-0.2959,3145
ARFGAP2,0.3594,0.3868,64,0.5459,0.5087,-0.0274,3146
NOSTRIN,0.027,0.3868,111,0.5458,0.0437,-0.3598,3147
FN1,0.4458,0.3868,83,0.5456,0.5988,0.059,3148
BLMH,0.3542,0.3868,96,0.5455,0.5025,-0.0326,3149
SFXN5,0.0661,0.3868,121,0.5453,0.1102,-0.3207,3150
ZNF346,0.4733,0.3868,131,0.5452,0.626,0.0865,3151
RPS6KB2,0.6789,0.3867,109,0.545,0.8111,0.2922,3152
FAM168A,0.66,0.3867,100,0.5449,0.7956,0.2733,3153
EMC2,0.2105,0.3867,171,0.5448,0.3205,-0.1762,3154
FUCA1,0.3871,0.3867,62,0.5446,0.5397,0.0004,3155
SND1,0.81,0.3866,200,0.5445,0.9177,0.4234,3156
PDSS2,0.1915,0.3866,47,0.5443,0.2945,-0.1951,3157
TMEM65,0.4693,0.3865,179,0.5442,0.6226,0.0827,3158
RAP1B,0.097,0.3865,134,0.544,0.1613,-0.2894,3159
SLC20A2,0.6311,0.3863,122,0.5439,0.7685,0.2448,3160
BCAT2,0.1124,0.3863,89,0.5437,0.1827,-0.2739,3161
C18orf32,0.4,0.3863,55,0.5436,0.5513,0.0137,3162
MBOAT7,0.5263,0.3862,95,0.5435,0.6731,0.1401,3163
VPS18,0.087,0.3862,46,0.5433,0.1472,-0.2992,3164
NR3C1,0.2564,0.3861,117,0.5432,0.3854,-0.1297,3165
TRPV2,0.0638,0.386,47,0.543,0.1064,-0.3222,3166
GCC1,0.7789,0.386,199,0.5429,0.8936,0.3929,3167
ME1,0.4821,0.386,56,0.5427,0.6349,0.0962,3168
KPNA6,0.5538,0.3858,65,0.5426,0.6992,0.1681,3169
DEGS1,0.4144,0.3858,181,0.5424,0.5656,0.0286,3170
MED11,0.4524,0.3856,42,0.5423,0.6054,0.0668,3171
DLG5,0.7059,0.3856,68,0.5422,0.8359,0.3203,3172
PHLDA1,0.4545,0.3856,110,0.542,0.6081,0.069,3173
BAG6,0.56,0.3855,100,0.5419,0.7052,0.1745,3174
ENGASE,0.0901,0.3855,111,0.5417,0.1516,-0.2954,3175
OTULIN,0.7742,0.3855,186,0.5416,0.89,0.3887,3176
RPP25L,0.7792,0.3855,77,0.5414,0.8938,0.3937,3177
NARS2,0.2447,0.3855,94,0.5413,0.3675,-0.1408,3178
TEAD1,0.2727,0.3854,66,0.5411,0.4086,-0.1127,3179
CRELD2,0.65,0.3854,60,0.541,0.7858,0.2646,3180
TLR3,0.28,0.3853,50,0.5409,0.4184,-0.1053,3181
BCL2L1,0.4647,0.3853,170,0.5407,0.6174,0.0794,3182
N4BP1,0.2577,0.3853,97,0.5406,0.387,-0.1276,3183
POLE3,0.7719,0.3853,57,0.5404,0.8885,0.3866,3184
ZNF740,0.4234,0.3853,111,0.5403,0.5741,0.0382,3185
PGGT1B,0.3298,0.3852,94,0.5401,0.4785,-0.0554,3186
MMS19,0.8361,0.3852,61,0.54,0.9394,0.4508,3187
PPIH,0.7816,0.3852,87,0.5398,0.896,0.3964,3188
AFF1,0.4182,0.3852,55,0.5397,0.5692,0.033,3189
CYLD,0.2174,0.3852,92,0.5396,0.3296,-0.1678,3190
LANCL2,0.2301,0.3851,226,0.5394,0.3496,-0.155,3191
KIF1B,0.5312,0.3849,64,0.5393,0.6767,0.1463,3192
BTN2A1,0.1075,0.3849,93,0.5391,0.1751,-0.2774,3193
PLCD1,0.0444,0.3849,45,0.539,0.0752,-0.3405,3194
OGDHL,0.0541,0.3849,74,0.5388,0.0913,-0.3308,3195
CXADR,0.4444,0.3848,81,0.5387,0.5969,0.0596,3196
SGTA,0.6986,0.3848,73,0.5386,0.8298,0.3138,3197
MED20,0.8182,0.3848,110,0.5384,0.924,0.4334,3198
PLCB4,0.1825,0.3848,137,0.5383,0.2852,-0.2023,3199
LIN7C,0.1525,0.3847,59,0.5381,0.244,-0.2322,3200
ITPK1,0.1807,0.3847,83,0.538,0.2818,-0.204,3201
MDK,0.7538,0.3846,65,0.5378,0.8734,0.3693,3202
HMG20A,0.6667,0.3845,63,0.5377,0.8018,0.2821,3203
IGSF8,0.1294,0.3845,201,0.5375,0.2082,-0.2551,3204
SULT1B1,0.0746,0.3845,67,0.5374,0.1258,-0.3099,3205
YKT6,0.5545,0.3844,220,0.5373,0.7002,0.1701,3206
MAFG,0.3333,0.3844,114,0.5371,0.4822,-0.0511,3207
HPGDS,0.1,0.3844,50,0.537,0.1665,-0.2844,3208
MOCS3,0.3203,0.3843,153,0.5368,0.4697,-0.064,3209
JAM3,0.0149,0.3842,67,0.5367,0.0207,-0.3693,3210
NUMB,0.1071,0.3841,84,0.5365,0.1745,-0.277,3211
DHX40,0.2975,0.384,121,0.5364,0.4421,-0.0865,3212
PAN2,0.2857,0.384,119,0.5362,0.4269,-0.0983,3213
PSMD9,0.2424,0.384,99,0.5361,0.3646,-0.1415,3214
DNPH1,0.1927,0.3838,109,0.536,0.2966,-0.1912,3215
PDCD6IP,0.2174,0.3838,46,0.5358,0.3296,-0.1665,3216
NCKAP1L,0.3451,0.3838,113,0.5357,0.4951,-0.0387,3217
GBF1,0.8421,0.3838,57,0.5355,0.9446,0.4583,3218
APTX,0.5584,0.3838,77,0.5354,0.7032,0.1746,3219
QSOX2,0.7333,0.3838,60,0.5352,0.8581,0.3495,3220
IRS1,0.3049,0.3838,82,0.5351,0.4528,-0.0789,3221
CABIN1,0.5068,0.3836,73,0.5349,0.6591,0.1232,3222
ACSL3,0.725,0.3835,80,0.5348,0.8524,0.3415,3223
CANT1,0.7207,0.3834,111,0.5347,0.8483,0.3373,3224
NMT2,0.0482,0.3834,83,0.5345,0.0811,-0.3352,3225
SNX1,0.0536,0.3834,56,0.5344,0.0911,-0.3298,3226
MAP7,0.52,0.3833,50,0.5342,0.6679,0.1367,3227
TMEM222,0.1935,0.3833,62,0.5341,0.2978,-0.1897,3228
LRRC47,0.3279,0.3832,61,0.5339,0.477,-0.0553,3229
YWHAH,0.3182,0.383,66,0.5338,0.4673,-0.0649,3230
PRKAB1,0.4021,0.3828,97,0.5336,0.5531,0.0192,3231
DDI2,0.058,0.3828,69,0.5335,0.0969,-0.3249,3232
LYSMD2,0.1698,0.3828,53,0.5334,0.2673,-0.213,3233
STOM,0.1071,0.3828,56,0.5332,0.1745,-0.2756,3234
STX12,0.1111,0.3827,63,0.5331,0.1809,-0.2716,3235
C12orf4,0.028,0.3827,143,0.5329,0.0455,-0.3547,3236
YIPF3,0.713,0.3826,108,0.5328,0.8432,0.3304,3237
AGPAT2,0.1452,0.3825,62,0.5326,0.232,-0.2374,3238
SLC12A4,0.2604,0.3825,96,0.5325,0.3911,-0.1221,3239
STK38,0.4444,0.3825,99,0.5323,0.5969,0.062,3240
EIF4EBP1,0.2783,0.3825,115,0.5322,0.4152,-0.1042,3241
ELAVL1,0.6582,0.3824,79,0.5321,0.793,0.2758,3242
RSPRY1,0.449,0.3824,98,0.5319,0.602,0.0666,3243
KIAA1109,0.102,0.3824,49,0.5318,0.1692,-0.2803,3244
ARF6,0.25,0.3823,96,0.5316,0.3758,-0.1323,3245
TRADD,0.7396,0.3823,96,0.5315,0.8624,0.3572,3246
DDX1,0.2018,0.3823,114,0.5313,0.3084,-0.1805,3247
ARFGEF2,0.2313,0.3822,147,0.5312,0.351,-0.1509,3248
PCMTD1,0.1538,0.3822,130,0.531,0.2459,-0.2284,3249
ZHX1,0.2611,0.3822,180,0.5309,0.3923,-0.1211,3250
ATP6V1D,0.026,0.3822,77,0.5308,0.0417,-0.3562,3251
ATG4B,0.36,0.3821,75,0.5306,0.5096,-0.0221,3252
LIX1L,0.0928,0.382,194,0.5305,0.1549,-0.2893,3253
RIC8A,0.68,0.382,50,0.5303,0.8122,0.298,3254
VPS54,0.2602,0.3819,123,0.5302,0.3908,-0.1218,3255
TARBP1,0.5914,0.3817,186,0.53,0.7323,0.2097,3256
RBM45,0.6481,0.3816,108,0.5299,0.7841,0.2665,3257
CEP68,0.041,0.3816,122,0.5297,0.0693,-0.3406,3258
RPL23,0.6404,0.3814,114,0.5296,0.7777,0.2589,3259
FBXO30,0.2745,0.3814,51,0.5295,0.4113,-0.1069,3260
LSM1,0.5259,0.3811,116,0.5293,0.6727,0.1448,3261
NELFB,0.7143,0.381,63,0.5292,0.8443,0.3333,3262
P3H3,0.6642,0.3809,137,0.529,0.8006,0.2833,3263
FAM207A,0.7258,0.3809,62,0.5289,0.8532,0.3449,3264
SCD5,0.2037,0.3809,54,0.5287,0.3111,-0.1772,3265
ABCC1,0.6952,0.3808,105,0.5286,0.8272,0.3144,3266
FMNL1,0.1927,0.3808,109,0.5284,0.2966,-0.1881,3267
CYBRD1,0.0089,0.3808,112,0.5283,0.0128,-0.3718,3268
BNIP1,0.4538,0.3807,130,0.5282,0.6074,0.0732,3269
SAMHD1,0.1722,0.3806,151,0.528,0.27,-0.2085,3270
BCL7B,0.1613,0.3806,217,0.5279,0.2548,-0.2193,3271
ATP11A,0.3377,0.3804,77,0.5277,0.4872,-0.0428,3272
C7orf50,0.527,0.3804,222,0.5276,0.6738,0.1466,3273
CFL2,0.0,0.3803,109,0.5274,0.0058,-0.3803,3274
ZNF516,0.5,0.3803,54,0.5273,0.6533,0.1197,3275
RAC1,0.1491,0.3801,228,0.5271,0.239,-0.231,3276
MOB4,0.3636,0.38,99,0.527,0.5139,-0.0164,3277
ATXN3,0.3976,0.38,83,0.5269,0.5489,0.0176,3278
MNDA,0.2929,0.3799,198,0.5267,0.4357,-0.087,3279
TMEM33,0.4627,0.3799,67,0.5266,0.6154,0.0828,3280
COQ5,0.0306,0.3799,98,0.5264,0.0492,-0.3493,3281
TSTA3,0.3675,0.3797,166,0.5263,0.5189,-0.0123,3282
IGF1R,0.5526,0.3797,76,0.5261,0.6981,0.1729,3283
VASP,0.2333,0.3797,90,0.526,0.3537,-0.1464,3284
ITGA4,0.2936,0.3797,109,0.5258,0.437,-0.0861,3285
IRF2BPL,0.475,0.3797,80,0.5257,0.6281,0.0953,3286
LDHB,0.1844,0.3796,141,0.5256,0.2872,-0.1952,3287
GSKIP,0.7349,0.3796,83,0.5254,0.8598,0.3554,3288
GET4,0.4414,0.3794,222,0.5253,0.5939,0.062,3289
FARS2,0.2198,0.3794,91,0.5251,0.3337,-0.1596,3290
LRBA,0.28,0.3793,50,0.525,0.4184,-0.0993,3291
DDHD2,0.3983,0.3793,118,0.5248,0.5498,0.019,3292
FDXR,0.3884,0.3793,121,0.5247,0.5411,0.0092,3293
ALAD,0.0351,0.3792,57,0.5245,0.058,-0.3441,3294
CLGN,0.42,0.3792,50,0.5244,0.571,0.0408,3295
SEC23A,0.5333,0.3791,105,0.5243,0.6789,0.1542,3296
TMUB1,0.5594,0.3791,202,0.5241,0.7044,0.1803,3297
TXN2,0.1071,0.3791,56,0.524,0.1745,-0.2719,3298
VPS16,0.1203,0.379,133,0.5238,0.1951,-0.2587,3299
DLAT,0.2286,0.3789,70,0.5237,0.3464,-0.1503,3300
MYDGF,0.6892,0.3788,74,0.5235,0.8216,0.3104,3301
CEP44,0.3673,0.3787,49,0.5234,0.5185,-0.0114,3302
BSG,0.6623,0.3787,77,0.5232,0.7989,0.2836,3303
LRRFIP1,0.2051,0.3787,78,0.5231,0.3127,-0.1736,3304
MTHFR,0.2879,0.3787,66,0.523,0.4294,-0.0908,3305
IFT52,0.1067,0.3786,150,0.5228,0.1738,-0.272,3306
IGF2,0.087,0.3786,46,0.5227,0.1472,-0.2917,3307
PCID2,0.7467,0.3786,75,0.5225,0.8689,0.3681,3308
SPARC,0.623,0.3785,122,0.5224,0.761,0.2444,3309
FAM117B,0.3789,0.3785,95,0.5222,0.5299,0.0005,3310
PPTC7,0.2079,0.3784,101,0.5221,0.3164,-0.1704,3311
SYNJ2,0.5652,0.3784,46,0.5219,0.7096,0.1869,3312
NRM,0.125,0.3783,96,0.5218,0.2021,-0.2533,3313
VPS37C,0.15,0.3779,80,0.5217,0.2405,-0.2279,3314
EDC4,0.9485,0.3779,97,0.5215,0.9942,0.5705,3315
ATG12,0.2632,0.3779,95,0.5214,0.3947,-0.1147,3316
KLC4,0.2336,0.3779,107,0.5212,0.3544,-0.1442,3317
SLC25A22,0.3673,0.3777,49,0.5211,0.5185,-0.0104,3318
CPOX,0.9204,0.3776,113,0.5209,0.9855,0.5427,3319
SPIN1,0.4138,0.3776,58,0.5208,0.5652,0.0362,3320
NOTCH2,0.1605,0.3776,81,0.5206,0.254,-0.2171,3321
LASP1,0.0965,0.3776,114,0.5205,0.161,-0.2811,3322
RPP25,0.6333,0.3775,60,0.5204,0.7709,0.2558,3323
MAN2B2,0.0714,0.3775,56,0.5202,0.1193,-0.306,3324
SNX15,0.043,0.3774,93,0.5201,0.0728,-0.3344,3325
EMG1,0.7868,0.3773,136,0.5199,0.9001,0.4094,3326
FKBPL,0.449,0.3773,98,0.5198,0.602,0.0717,3327
ARFGAP3,0.8814,0.3773,59,0.5196,0.9698,0.5041,3328
RNF14,0.4153,0.3773,118,0.5195,0.5659,0.038,3329
NFKBIB,0.6439,0.3772,132,0.5193,0.7813,0.2668,3330
EIF4A2,0.2105,0.3771,171,0.5192,0.3205,-0.1665,3331
RPLP1,0.4667,0.3771,60,0.5191,0.6189,0.0896,3332
CGGBP1,0.3824,0.377,68,0.5189,0.5339,0.0053,3333
DTYMK,0.72,0.3769,75,0.5188,0.8477,0.3431,3334
DPP4,0.25,0.3769,104,0.5186,0.3758,-0.1269,3335
RIPK3,0.2892,0.3767,83,0.5185,0.4314,-0.0876,3336
AHSA1,0.6282,0.3767,78,0.5183,0.766,0.2515,3337
SLC25A11,0.0714,0.3767,42,0.5182,0.1193,-0.3052,3338
FERMT1,0.4412,0.3766,136,0.518,0.5936,0.0646,3339
AIDA,0.2295,0.3766,183,0.5179,0.3484,-0.1471,3340
KXD1,0.1134,0.3765,97,0.5178,0.1847,-0.2631,3341
MSRB2,0.0833,0.3764,84,0.5176,0.1395,-0.2931,3342
AP3S1,0.5474,0.3764,95,0.5175,0.6929,0.171,3343
RAP1A,0.0328,0.3764,61,0.5173,0.053,-0.3436,3344
DCK,0.8636,0.3763,66,0.5172,0.9575,0.4873,3345
PLXNB2,0.4098,0.3761,61,0.517,0.561,0.0337,3346
NCOA2,0.6042,0.3761,144,0.5169,0.7449,0.2281,3347
NUTF2,0.3125,0.3761,96,0.5167,0.4615,-0.0636,3348
FKBP11,0.6814,0.3761,113,0.5166,0.8133,0.3053,3349
ACOT7,0.4603,0.3761,63,0.5165,0.6133,0.0843,3350
DAGLB,0.4167,0.3759,228,0.5163,0.5679,0.0407,3351
PRMT2,0.2059,0.3759,68,0.5162,0.3135,-0.17,3352
NRBP2,0.1037,0.3758,164,0.516,0.1708,-0.2722,3353
GSTO1,0.2,0.3758,55,0.5159,0.3065,-0.1758,3354
TRIP6,0.242,0.3758,219,0.5157,0.3638,-0.1338,3355
TLE1,0.5263,0.3758,57,0.5156,0.6731,0.1505,3356
ST6GAL1,0.6316,0.3756,171,0.5154,0.7692,0.256,3357
