gene,transmissibility,n_amplified_cases,n_rows,meets_primary_20,meets_relaxed_10
ALKBH5,0.8297872340425532,47,47,True,True
ALKBH8,0.3055555555555556,72,72,True,True
ALOX5,0.12162162162162163,74,74,True,True
ALOX5AP,0.1111111111111111,54,54,True,True
ALPL,0.27419354838709675,62,62,True,True
ALS2,0.20833333333333334,96,96,True,True
ALYREF,0.8771929824561403,114,114,True,True
AMACR,0.2849462365591398,186,186,True,True
AMBP,0.03571428571428571,56,56,True,True
AMDHD2,0.2268041237113402,97,97,True,True
AMFR,0.3368421052631579,95,95,True,True
AMOTL1,0.011904761904761904,84,84,True,True
AMOTL2,0.11538461538461539,130,130,True,True
AMPD2,0.7076923076923077,65,65,True,True
AMPD3,0.43103448275862066,58,58,True,True
AMT,0.022727272727272728,44,44,True,True
AMZ2,0.4112903225806452,124,124,True,True
ANAPC1,0.7358490566037735,106,106,True,True
ANAPC10,0.48148148148148145,54,54,True,True
ANAPC16,0.13043478260869565,69,69,True,True
ANAPC2,0.36507936507936506,63,63,True,True
ANAPC4,0.2807017543859649,57,57,True,True
ANAPC5,0.4536082474226804,97,97,True,True
ANAPC7,0.66,100,100,True,True
ANG,0.05102040816326531,98,98,True,True
ANGEL2,0.42702702702702705,185,185,True,True
ANGPTL2,0.423728813559322,59,59,True,True
ANGPTL4,0.569620253164557,79,79,True,True
ANK1,0.03305785123966942,121,121,True,True
ANK2,0.0,50,50,True,True
ANK3,0.19117647058823528,68,68,True,True
ANKFY1,0.046511627906976744,43,43,True,True
ANKHD1,0.8305084745762712,118,118,True,True
ANKIB1,0.1511111111111111,225,225,True,True
ANKLE2,0.8620689655172413,87,87,True,True
ANKMY2,0.2183406113537118,229,229,True,True
ANKRD10,0.3717948717948718,78,78,True,True
ANKRD11,0.20253164556962025,79,79,True,True
ANKRD12,0.09090909090909091,99,99,True,True
ANKRD13A,0.12871287128712872,101,101,True,True
ANKRD17,0.835820895522388,67,67,True,True
ANKRD22,0.6610169491525424,59,59,True,True
ANKRD27,0.2265625,128,128,True,True
ANKRD28,0.5,48,48,True,True
ANKRD44,0.08163265306122448,98,98,True,True
ANKRD50,0.2549019607843137,51,51,True,True
ANKRD52,0.5916666666666667,120,120,True,True
ANKRD54,0.21428571428571427,56,56,True,True
ANKS1A,0.23711340206185566,97,97,True,True
ANKS6,0.25862068965517243,58,58,True,True
ANKZF1,0.9012345679012346,81,81,True,True
ANO10,0.3541666666666667,48,48,True,True
ANO6,0.07207207207207207,111,111,True,True
ANP32A,0.6440677966101694,59,59,True,True
ANP32B,0.7931034482758621,58,58,True,True
ANP32E,0.6461538461538462,195,195,True,True
ANPEP,0.08571428571428572,70,70,True,True
ANTXR1,0.4297520661157025,121,121,True,True
ANTXR2,0.0847457627118644,59,59,True,True
ANXA1,0.45,60,60,True,True
ANXA11,0.3382352941176471,68,68,True,True
ANXA2,0.14814814814814814,54,54,True,True
ANXA3,0.047619047619047616,63,63,True,True
ANXA4,0.19327731092436976,119,119,True,True
ANXA5,0.10416666666666667,48,48,True,True
ANXA6,0.06557377049180328,122,122,True,True
ANXA7,0.391304347826087,69,69,True,True
AOAH,0.33482142857142855,224,224,True,True
AOC3,0.0,106,106,True,True
AOX1,0.0,98,98,True,True
AP1B1,0.13432835820895522,67,67,True,True
AP1G1,0.41237113402061853,97,97,True,True
AP1G2,0.34523809523809523,84,84,True,True
AP1M1,0.12087912087912088,91,91,True,True
AP1S1,0.19907407407407407,216,216,True,True
AP2A1,0.24719101123595505,89,89,True,True
AP2A2,0.02040816326530612,49,49,True,True
AP2B1,0.04950495049504951,101,101,True,True
AP2M1,0.040229885057471264,174,174,True,True
AP2S1,0.07317073170731707,82,82,True,True
AP3B1,0.25316455696202533,79,79,True,True
AP3D1,0.24324324324324326,74,74,True,True
AP3M1,0.07352941176470588,68,68,True,True
AP3M2,0.3025210084033613,119,119,True,True
AP3S1,0.5473684210526316,95,95,True,True
AP4B1,0.2459016393442623,61,61,True,True
AP4E1,0.3018867924528302,53,53,True,True
AP4M1,0.35909090909090907,220,220,True,True
AP5B1,0.030612244897959183,98,98,True,True
AP5M1,0.011363636363636364,88,88,True,True
AP5S1,0.20149253731343283,134,134,True,True
AP5Z1,0.19911504424778761,226,226,True,True
APAF1,0.36633663366336633,101,101,True,True
APBA3,0.32432432432432434,74,74,True,True
APBB1,0.01818181818181818,55,55,True,True
APBB1IP,0.27586206896551724,87,87,True,True
APBB2,0.10144927536231885,69,69,True,True
APC,0.23076923076923078,91,91,True,True
APCS,0.020202020202020204,198,198,True,True
APEH,0.13953488372093023,43,43,True,True
APEX1,0.6597938144329897,97,97,True,True
API5,0.7213114754098361,61,61,True,True
APIP,0.10606060606060606,66,66,True,True
APLP2,0.38028169014084506,71,71,True,True
APMAP,0.684931506849315,146,146,True,True
APOA1,0.0273972602739726,73,73,True,True
APOA2,0.01990049751243781,201,201,True,True
APOA4,0.0136986301369863,73,73,True,True
APOB,0.0,113,113,True,True
APOBEC3C,0.6551724137931034,58,58,True,True
APOBEC3F,0.5084745762711864,59,59,True,True
APOBEC3G,0.3389830508474576,59,59,True,True
APOBR,0.22727272727272727,110,110,True,True
APOC1,0.06060606060606061,99,99,True,True
APOC3,0.0273972602739726,73,73,True,True
APOC4,0.04040404040404041,99,99,True,True
APOD,0.024096385542168676,166,166,True,True
APOE,0.1414141414141414,99,99,True,True
APOF,0.05042016806722689,119,119,True,True
APOH,0.06611570247933884,121,121,True,True
APOL1,0.05263157894736842,57,57,True,True
APOL2,0.5964912280701754,57,57,True,True
APOL3,0.08771929824561403,57,57,True,True
APOM,0.02,100,100,True,True
APP,0.5833333333333334,72,72,True,True
APPL1,0.07142857142857142,42,42,True,True
APPL2,0.24752475247524752,101,101,True,True
APRT,0.6329113924050633,79,79,True,True
APTX,0.5584415584415584,77,77,True,True
AQR,0.64,50,50,True,True
ARAP1,0.0196078431372549,102,102,True,True
ARAP3,0.1623931623931624,117,117,True,True
ARCN1,0.6986301369863014,73,73,True,True
ARF4,0.6097560975609756,41,41,True,True
ARF5,0.6482412060301508,199,199,True,True
ARF6,0.25,96,96,True,True
ARFGAP1,0.7707006369426752,157,157,True,True
ARFGAP2,0.359375,64,64,True,True
ARFGAP3,0.8813559322033898,59,59,True,True
ARFGEF1,0.5428571428571428,140,140,True,True
ARFGEF2,0.23129251700680273,147,147,True,True
ARFIP1,0.4897959183673469,49,49,True,True
ARFIP2,0.32727272727272727,55,55,True,True
ARFRP1,0.7115384615384616,156,156,True,True
ARG1,0.10204081632653061,49,49,True,True
ARGLU1,0.6438356164383562,73,73,True,True
ARHGAP1,0.26153846153846155,65,65,True,True
ARHGAP10,0.17307692307692307,52,52,True,True
ARHGAP12,0.5348837209302325,86,86,True,True
ARHGAP15,0.25252525252525254,99,99,True,True
ARHGAP17,0.10891089108910891,101,101,True,True
ARHGAP18,0.08333333333333333,48,48,True,True
ARHGAP21,0.11627906976744186,86,86,True,True
ARHGAP24,0.09090909090909091,55,55,True,True
ARHGAP25,0.14049586776859505,121,121,True,True
ARHGAP26,0.4491525423728814,118,118,True,True
ARHGAP27,0.35454545454545455,110,110,True,True
ARHGAP29,0.09836065573770492,61,61,True,True
ARHGAP30,0.19402985074626866,201,201,True,True
ARHGAP31,0.008547008547008548,117,117,True,True
ARHGAP32,0.4246575342465753,73,73,True,True
ARHGAP35,0.40963855421686746,83,83,True,True
ARHGAP42,0.1375,80,80,True,True
ARHGAP44,0.022727272727272728,44,44,True,True
ARHGAP5,0.4563106796116505,103,103,True,True
ARHGAP9,0.2601626016260163,123,123,True,True
ARHGDIA,0.22807017543859648,114,114,True,True
ARHGDIB,0.25757575757575757,132,132,True,True
ARHGEF10,0.06896551724137931,58,58,True,True
ARHGEF10L,0.08955223880597014,67,67,True,True
ARHGEF11,0.25125628140703515,199,199,True,True
ARHGEF12,0.057971014492753624,69,69,True,True
ARHGEF16,0.8888888888888888,63,63,True,True
ARHGEF17,0.019801980198019802,101,101,True,True
ARHGEF18,0.2727272727272727,77,77,True,True
ARHGEF2,0.46766169154228854,201,201,True,True
ARHGEF28,0.4819277108433735,83,83,True,True
ARHGEF37,0.09836065573770492,122,122,True,True
ARHGEF40,0.07142857142857142,98,98,True,True
ARHGEF5,0.5566502463054187,203,203,True,True
ARHGEF7,0.2692307692307692,78,78,True,True
ARID1A,0.7704918032786885,61,61,True,True
ARID1B,0.391304347826087,46,46,True,True
ARID2,0.7747747747747747,111,111,True,True
ARID4A,0.17582417582417584,91,91,True,True
ARID4B,0.7526881720430108,186,186,True,True
ARIH1,0.7288135593220338,59,59,True,True
ARIH2,0.5952380952380952,42,42,True,True
ARL1,0.7766990291262136,103,103,True,True
ARL14EP,0.5645161290322581,62,62,True,True
ARL15,0.26881720430107525,93,93,True,True
ARL2,0.13043478260869565,92,92,True,True
ARL2BP,0.4489795918367347,98,98,True,True
ARL3,0.5862068965517241,58,58,True,True
ARL6,0.035398230088495575,113,113,True,True
ARL6IP1,0.34951456310679613,103,103,True,True
ARL6IP4,0.4897959183673469,98,98,True,True
ARL6IP5,0.09803921568627451,51,51,True,True
ARL6IP6,0.12745098039215685,102,102,True,True
ARL8A,0.0979381443298969,194,194,True,True
ARL8B,0.14,50,50,True,True
ARMC1,0.07194244604316546,139,139,True,True
ARMC10,0.4009433962264151,212,212,True,True
ARMC6,0.7525773195876289,97,97,True,True
ARMC8,0.48936170212765956,141,141,True,True
ARMC9,0.5185185185185185,81,81,True,True
ARNT,0.4472361809045226,199,199,True,True
ARPC1A,0.07272727272727272,220,220,True,True
ARPC1B,0.37727272727272726,220,220,True,True
ARPC2,0.24096385542168675,83,83,True,True
ARPC3,0.27,100,100,True,True
ARPC4,0.29411764705882354,51,51,True,True
ARPC5,0.25396825396825395,189,189,True,True
ARPC5L,0.2786885245901639,61,61,True,True
ARPIN,0.1267605633802817,71,71,True,True
ARPP19,0.24528301886792453,53,53,True,True
ARRB1,0.0,97,97,True,True
ARRB2,0.21428571428571427,42,42,True,True
ARRDC1,0.2,65,65,True,True
ARSA,0.36363636363636365,66,66,True,True
ARSB,0.08974358974358974,78,78,True,True
ARVCF,0.15853658536585366,82,82,True,True
AS3MT,0.2413793103448276,58,58,True,True
ASAH1,0.14285714285714285,56,56,True,True
ASAP1,0.2111111111111111,180,180,True,True
ASAP2,0.15178571428571427,112,112,True,True
ASAP3,0.16666666666666666,60,60,True,True
ASCC1,0.7246376811594203,69,69,True,True
ASCC2,0.704225352112676,71,71,True,True
ASCC3,0.8936170212765957,47,47,True,True
ASF1A,0.46808510638297873,47,47,True,True
ASH2L,0.6896551724137931,116,116,True,True
ASL,0.1643835616438356,219,219,True,True
ASNA1,0.2558139534883721,86,86,True,True
ASNS,0.7058823529411765,221,221,True,True
ASPA,0.0,42,42,True,True
ASPH,0.7481481481481481,135,135,True,True
ASPN,0.05084745762711865,59,59,True,True
ASPSCR1,0.23008849557522124,113,113,True,True
ASRGL1,0.225,80,80,True,True
ASS1,0.21052631578947367,57,57,True,True
ASXL2,0.5087719298245614,114,114,True,True
ATAD1,0.4918032786885246,61,61,True,True
ATAD2,0.8,180,180,True,True
ATAD3A,0.5362318840579711,69,69,True,True
ATAT1,0.35789473684210527,95,95,True,True
ATE1,0.09230769230769231,65,65,True,True
ATF1,0.48672566371681414,113,113,True,True
ATF2,0.42201834862385323,109,109,True,True
ATF7,0.39285714285714285,112,112,True,True
ATF7IP,0.8571428571428571,133,133,True,True
ATG101,0.375,112,112,True,True
ATG12,0.2631578947368421,95,95,True,True
ATG13,0.36923076923076925,65,65,True,True
ATG14,0.5,92,92,True,True
ATG16L1,0.5443037974683544,79,79,True,True
ATG2A,0.17391304347826086,92,92,True,True
ATG2B,0.1566265060240964,83,83,True,True
ATG3,0.38738738738738737,111,111,True,True
ATG4B,0.36,75,75,True,True
ATG4C,0.078125,64,64,True,True
ATG5,0.44680851063829785,47,47,True,True
ATG7,0.2553191489361702,47,47,True,True
ATG9A,0.6790123456790124,81,81,True,True
ATIC,0.8674698795180723,83,83,True,True
ATL1,0.2,95,95,True,True
ATL2,0.559322033898305,118,118,True,True
ATL3,0.1951219512195122,82,82,True,True
ATM,0.39436619718309857,71,71,True,True
ATN1,0.4264705882352941,136,136,True,True
ATOX1,0.36065573770491804,122,122,True,True
